@relation 'final_predict-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT5)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT6)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT7)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT8)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT9)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-5,7-8'

@attribute actor_factor numeric
@attribute director_factor numeric
@attribute genre {Drama,Comedy,Action,Adventure,Animation,Horror,Documentary,Western,Thriller,Fantasy,History,Mystery,Romance,'Science Fiction',Family,War,Crime,Music,Foreign,'TV Movie'}
@attribute vote_en numeric

@data
9.4,30,Drama,364735
10.2,1,Comedy,40058
10.8,1,Western,170948
18.2,8,Adventure,200742
18.2,8,Adventure,134990
21.6,8,Adventure,133974
24,8,Adventure,132991
15,1,Adventure,206741
4.2,5,Horror,168314
24,5,Drama,458317
16,20,Adventure,206759
15.2,5,Comedy,113130
17.6,17.5,Animation,286415
23.6,3,Adventure,316878
24,3,Adventure,255369
24,30,Adventure,270414
12.6,20,Comedy,143797
5.2,30,Adventure,73590
3.6,20,Thriller,121076
13.6,1,Adventure,72620
8.6,30,Drama,102940
14.6,20,Drama,92813
7.2,3,Thriller,63196
9.6,1,Action,119686
2.8,30,Fantasy,75633
12.75,1,Drama,21636
9,1,Drama,65456
7.4,1,Drama,47355
6.25,20,Adventure,33091
2.4,5,Drama,105748
14.2,30,Drama,254943
10.6,20,Fantasy,52099
18.2,10,Drama,16183
6.6,8,Action,87590
5.6,3,Drama,6899
6.4,1,Drama,35300
16.2,3,Action,120486
10.2,1,Thriller,55055
12.8,5,Horror,278996
9.8,5,Thriller,121959
5,1,Drama,14993
13.6,5,Action,97670
6.6,20,Drama,38622
8,1,Drama,9489
34,30,Drama,913080
26,30,Drama,58974
5.75,1,Drama,13006
24.2,20,Drama,253408
21.6,1,Drama,48455
11,40,Drama,171353
30,40,Drama,89288
18.2,20,Drama,90114
20.2,1,Drama,30022
15.6,1,Fantasy,190669
3.2,30,Adventure,137006
28,1,Drama,20386
8.2,1,Drama,73487
14,1,Comedy,33439
23,3,Drama,66551
20,20,Fantasy,193243
15.6,1,Adventure,117291
24.2,20,Drama,97402
8.8,1,Animation,71038
9,1,Comedy,94234
18.4,30,Adventure,637071
30,20,Thriller,199851
23,1,Adventure,55163
1,1,Drama,5985
9.8,20,Comedy,79546
18,1,Drama,381205
14.6,1,Drama,65324
6.6,1,Drama,30593
14.4,20,Drama,73726
16.6,5,Drama,406292
16.6,40,Drama,148544
14.8,1,Adventure,181576
16.4,1,Adventure,124011
14.4,1,Adventure,97426
16.6,40,Drama,133670
14.2,20,Drama,421991
18.6,40,Drama,145267
14.8,5,Drama,99766
2.8,1,Drama,5252
7.6,3,Drama,5550
21.4,8,Adventure,199185
24,20,Comedy,73989
10.4,20,Drama,95889
18.6,5,Drama,361087
15.6,1,Adventure,40809
6.8,20,Adventure,22092
11.8,1,Drama,4239
11,5,Drama,7094
10.6,1,Drama,13116
10.2,20,Fantasy,498856
30,30,Drama,937354
5.2,20,Fantasy,199379
26,20,Action,135112
28,3,Drama,154395
7.2,30,Documentary,127224
2.8,20,Fantasy,50449
1,3,Drama,5843
17.6,1,Drama,95206
14.4,1,Drama,20998
16,10,Drama,122570
19.6,30,Adventure,246793
8.4,20,Drama,77783
18,20,Fantasy,255759
26,1,Fantasy,309919
12.4,20,Adventure,23685
16.4,1,Action,146596
28,20,Adventure,228481
1,1,Drama,7785
9.4,1,Adventure,44263
4.8,10,Adventure,72440
6.2,3,Adventure,26177
24,1,Drama,152297
12.2,1,Action,38389
14.6,8,Action,125727
20.6,5,Drama,306356
24,20,Adventure,107351
10.6,3,Comedy,208999
5.4,8,Drama,1750
14.2,1,Drama,24404
16.2,10,Drama,19179
12,1,Horror,97978
20,1,Drama,64458
12.6,20,Drama,37164
12.4,1,Drama,35504
24.4,1,Horror,221856
1,3,Documentary,7249
24,20,Action,347555
28,3,Action,312437
14.6,20,Action,283496
16,1,Drama,181570
30.25,20,Horror,212064
22.2,1,Horror,161969
13.4,30,Drama,250357
3.2,30,Adventure,247914
5.2,10,Drama,101538
24,1,Comedy,194220
9.4,1,Comedy,220446
6.4,5,Fantasy,299336
13.6,20,Thriller,154273
25,1,Drama,180224
14.4,20,Comedy,73212
18.2,1,Drama,140904
18.2,1,Adventure,251357
13.8,1,Comedy,20706
23.6,1,Comedy,270948
14.6,30,Thriller,135178
2,1,Drama,30655
10.8,40,Drama,103643
2.8,1,Comedy,1138
14.4,3,Adventure,28225
20,1,Drama,145216
15.6,5,Comedy,109167
9.4,1,Drama,4519
14.4,1,Drama,12549
12.6,1,Comedy,232753
2.4,20,Drama,19676
1.4,20,Drama,3964
16,1,Drama,69141
6.8,5,Drama,54544
4.8,1,Adventure,54578
30,30,Adventure,272294
18,5,Fantasy,84843
22,8,Adventure,273715
16.2,8,Adventure,63083
18,3,Drama,374454
21.6,1,Comedy,27804
9,3,Drama,50984
5.4,20,Drama,39362
30,1,Drama,105908
10.8,3,Drama,55645
16.2,1,Action,117270
8.6,1,Adventure,89176
6.25,1,Drama,86151
9.8,1,Adventure,55633
15.25,1,Adventure,75993
15.25,3,Drama,19441
11.25,1,Documentary,49175
22,3,Adventure,149883
3.2,1,Drama,15540
10.6,3,Drama,116162
14,3,Horror,38421
1.75,1,Adventure,34137
7.25,1,Action,25071
8.25,20,Action,24502
2.8,20,Horror,144981
2.8,3,Horror,42951
8.6,3,Horror,142328
20,3,Action,234955
6.2,1,Horror,2968
4.8,20,Action,23804
3.4,1,Drama,27724
5.2,3,Drama,14042
28,1,Drama,82068
22,3,Drama,21353
24.2,1,Drama,29001
21,20,Adventure,342335
5.75,2,Drama,76646
22,20,Adventure,737681
22,1,Adventure,91062
16.4,30,Drama,44222
18,10,Adventure,258611
17.5,30,Adventure,124547
22.4,5,Action,129847
22,1,Drama,25258
30,20,Adventure,547329
5.75,30,Documentary,7184
9.6,30,Action,14103
13,30,Documentary,116451
7.3333,30,History,23527
5.6,3,Documentary,71148
12.4,1,Drama,55392
5.25,1,Drama,41826
12.4,2,Comedy,45891
1,3,Drama,73764
24,1,Drama,28802
3,8,Drama,6977
1.25,1,Comedy,7128
22.8,3,Drama,273108
6.6,20,Drama,7797
26,1,Drama,217996
22,25,Comedy,70555
14.2,20,Comedy,278642
10.8,1,Drama,39777
15.25,1,Drama,17213
20,1,Drama,257890
11.8,1,Drama,9595
30,20,Adventure,187444
12.6,8,Drama,43120
8.2,1,Thriller,4575
1,3,Drama,2098
4.6,1,Documentary,5332
13.2,10,Drama,91948
6.6,20,Comedy,27634
15.5,20,Drama,104161
20,10,Drama,69631
14.4,1,Animation,33077
26,30,Adventure,531096
