@relation 'final_predict-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT5)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT6)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT7)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT8)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT9)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-8'

@attribute actor_factor numeric
@attribute director_factor numeric
@attribute genre {Drama,Comedy,Action,Adventure,Animation,Horror,Documentary,Western,Thriller,Fantasy,History,Mystery,Romance,'Science Fiction',Family,War,Crime,Music,Foreign,'TV Movie'}
@attribute score_en numeric

@data
18.2,15,Action,8.7
18.2,15,Adventure,7.2
18.2,15,Adventure,6.7
10.6,3,Drama,7.2
28,20,Adventure,7.3
24,20,Adventure,6.1
3,20,Horror,7.4
17.2,30,Drama,7.6
6.6,8,Drama,8.3
12.4,30,Drama,7.2
16.6,20,Drama,7.7
12.2,3,Drama,6.5
1.2,1,Drama,6.7
9,3,Drama,6.2
15.2,5,Fantasy,7.8
8.4,3,Romance,7.2
11,30,Horror,6.7
11.8,1,Comedy,7.6
8.4,1,Drama,7.9
20,20,Drama,8.2
34,1,Horror,7.6
11.6,30,Drama,8.6
3.6,1,Adventure,8.1
16.2,1,Drama,6.7
16.8,1,Horror,7.3
4.4,30,Drama,6.8
8.6,30,Drama,8.6
6.6,30,Drama,7.6
14.2,3,Drama,7.6
24.2,30,Drama,8.1
15,8,Drama,8.4
9.4,1,Drama,8.1
1,1,Drama,8
12.4,30,Adventure,7.1
9,1,Adventure,7.3
22,1,Drama,7.8
9.2,5,Drama,7.6
28,20,Adventure,7.2
8.4,1,Drama,8.2
8.4,1,Drama,8.1
8.6,1,Adventure,7.5
5.6,8,Adventure,7.8
6.75,1,Adventure,7
20,8,Adventure,6.3
6.4,8,Adventure,8.1
2.8,1,Drama,8
6.2,1,Adventure,6.9
10.2,1,Adventure,6.8
8.6,20,Drama,8.4
28,8,Adventure,7.5
26,8,Adventure,7.4
28,20,Adventure,7.8
30,20,Adventure,7.7
30,20,Adventure,7.5
30,30,History,6.1
17.6,30,Horror,8.4
30,30,Thriller,8.9
8.4,8,Adventure,6.7
13.2,8,Adventure,6.8
26,20,Drama,7.4
8.8,30,Drama,7.6
14,30,Drama,7.5
8,1,Adventure,7.1
22,1,Comedy,6.3
11.2,30,Horror,8.4
16,5,Drama,7.7
14.6,20,Drama,8
10.8,1,Adventure,6.3
11.4,20,Adventure,6.8
8.8,20,Adventure,6.6
7,1,Drama,8
7.2,20,Drama,8.1
4.8,1,Comedy,7.7
10.4,10,Drama,8.3
13,20,Adventure,6.3
12.8,20,Adventure,6.7
6.4,20,Adventure,6.6
20.6,1,Adventure,7.2
10.2,3,Drama,7.3
11.2,20,Drama,7.1
16,1,Drama,7.6
20.2,1,Adventure,6.5
17,8,Action,6.9
18,30,Drama,8.1
4.6,20,Drama,7.8
10.4,20,Horror,8
22,1,Fantasy,8.2
24,3,Action,7.3
20.2,20,Horror,7.3
7.3333,1,Animation,7.8
10,12.5,Adventure,8.3
1,20,Horror,7.6
8.6,8,Horror,7.5
7.2,8,Fantasy,7.8
28,20,Adventure,7.5
16.6,1,Horror,6.8
20,30,Drama,8.7
7.2,1,Drama,8.2
12.6,8,Comedy,7.5
12.6,8,Adventure,6.6
16.6,2,Drama,7.8
24,1,Thriller,7.8
6.8,20,Drama,8.1
1,1,Drama,7.8
14,1,Drama,7.9
26,5,Drama,6.5
22.75,8,Drama,6.9
4.8,5,Horror,6.8
12.8,1,Horror,3.6
22,10,Drama,8.1
5.6,8,Horror,7.6
14.6,5,Fantasy,6.7
20,1,Drama,6.8
14.4,8,Drama,7.3
7.6,30,Drama,7.6
6,8,Comedy,8.1
6.8,30,Drama,8
12.4,1,Drama,5.5
30,30,Thriller,8.6
24,3,Adventure,7.9
21.6,12,Adventure,7.2
21.6,4.5,Adventure,6.1
12.6,20,Adventure,8
5.4,1,Comedy,7.8
6.6,5,Horror,7.6
18,1,Comedy,7
17.6,1,Adventure,6.6
20.2,1,Comedy,6.2
22.4,8,Drama,7.6
26,10,Drama,8
8.4,1,Drama,8.3
22,20,Drama,7.6
20,1,Drama,7.2
5.8,1,Drama,8.2
15.25,30,Drama,8.2
5,1,'Science Fiction',7.7
14.4,20,Fantasy,6.8
2.8,5,Horror,7.3
7,30,Drama,7.5
9.2,30,Drama,7.7
7.2,30,Adventure,6.6
13.2,1,Drama,7
6.6,20,Drama,8.1
14.6,20,Fantasy,7.5
3.2,10,Thriller,8
14.4,20,Thriller,7
8.4,20,Adventure,7.3
3.2,1,Fantasy,6.7
3.4,1,Adventure,6.1
3.6,1,Comedy,8
23,3,War,7.6
12.6,8,Fantasy,6.9
18,20,Action,7.7
10.8,20,Fantasy,7.7
16.2,30,Drama,8.6
16.8,3,Drama,6.8
20,1,Drama,7.7
11.6,10,Thriller,7.1
18.2,20,Adventure,7.5
16.2,20,Animation,8.3
22,20,Animation,7.9
4,8,Comedy,6.9
8.8,1,Action,6.6
22.6,20,Drama,7.7
18,1,Drama,4.9
1,20,Drama,7.3
24,30,Adventure,5.7
7,1,Adventure,8
3.8,8,Comedy,8.3
10.8,30,Drama,7.8
8.6,1,Drama,7.9
6,1,Adventure,7.8
18.6,30,Adventure,6.7
23.6,3,Drama,7.6
12.8,20,Drama,7.1
5.75,8,Drama,8.1
8.8,1,Fantasy,4.8
3.6,1,Comedy,3.6
14.4,1,Drama,8
1.6,2,Fantasy,7.7
1,3,Drama,8.2
1,3,Drama,8.2
2.75,3,Drama,7.8
4.8,30,Drama,8.6
6.8,2,Adventure,7.7
12.4,1,Drama,8.2
7.6,1,Drama,8
17,3,Drama,6.8
5.75,30,Comedy,8.5
9.8,1,Drama,7.5
16.2,1,Comedy,5.9
22,12.5,Adventure,7.1
14.2,20,Drama,8
1,8,Horror,8
12,30,Fantasy,7.4
5,3,Drama,7.9
18,1,Comedy,7.3
5,20,Fantasy,7.2
5.2,20,Fantasy,6.3
12.8,20,Action,5.3
1.25,1,Drama,8.2
9.4,30,Drama,8.5
10.2,1,Comedy,7.2
10.8,1,Western,8.3
18.2,8,Adventure,7.6
18.2,8,Adventure,7.2
21.6,8,Adventure,6.7
24,8,Adventure,6.6
15,1,Adventure,8.3
4.2,5,Horror,7.9
24,5,Drama,8.2
16,20,Adventure,6.9
15.2,5,Comedy,6
17.6,17.5,Animation,6.9
23.6,3,Adventure,7.1
24,3,Adventure,6.1
24,30,Adventure,6.9
12.6,20,Comedy,7.1
5.2,30,Adventure,8.2
3.6,20,Thriller,8.1
13.6,1,Adventure,7.8
8.6,30,Drama,7.9
14.6,20,Drama,7.4
7.2,3,Thriller,8
9.6,1,Action,7.8
2.8,30,Fantasy,7.4
12.75,1,Drama,7.4
9,1,Drama,8
7.4,1,Drama,7.5
6.25,20,Adventure,7.9
2.4,5,Drama,8.3
14.2,30,Drama,8
10.6,20,Fantasy,7.4
18.2,10,Drama,6.1
6.6,8,Action,7.8
5.6,3,Drama,5.8
6.4,1,Drama,7.6
16.2,3,Action,7.2
10.2,1,Thriller,7
12.8,5,Horror,8.2
9.8,5,Thriller,8.3
5,1,Drama,8
13.6,5,Action,7.2
6.6,20,Drama,7.5
8,1,Drama,6.7
34,30,Drama,8.5
26,30,Drama,6.5
5.75,1,Drama,8.1
24.2,20,Drama,7.5
21.6,1,Drama,7.9
11,40,Drama,7.2
30,40,Drama,6.7
18.2,20,Drama,6.2
20.2,1,Drama,6.5
15.6,1,Fantasy,5.2
3.2,30,Adventure,7.9
28,1,Drama,6.5
8.2,1,Drama,7
14,1,Comedy,5.6
23,3,Drama,7.4
20,20,Fantasy,7.6
15.6,1,Adventure,7.2
24.2,20,Drama,6.8
8.8,1,Animation,6.9
9,1,Comedy,6.3
18.4,30,Adventure,7.7
30,20,Thriller,7.3
23,1,Adventure,6.3
1,1,Drama,7.9
9.8,20,Comedy,6.4
18,1,Drama,7.6
14.6,1,Drama,7.4
6.6,1,Drama,7.2
14.4,20,Drama,7.1
16.6,5,Drama,8.1
16.6,40,Drama,7.2
14.8,1,Adventure,7.7
16.4,1,Adventure,6.4
14.4,1,Adventure,5.7
16.6,40,Drama,6.7
14.2,20,Drama,8
18.6,40,Drama,6.8
14.8,5,Drama,5.2
2.8,1,Drama,6.9
7.6,3,Drama,6.1
21.4,8,Adventure,7.3
24,20,Comedy,7
10.4,20,Drama,7.7
18.6,5,Drama,8
15.6,1,Adventure,6.7
6.8,20,Adventure,5.6
11.8,1,Drama,6.4
11,5,Drama,6.8
10.6,1,Drama,6.3
10.2,20,Fantasy,8.2
30,30,Drama,8.5
5.2,20,Fantasy,7.5
26,20,Action,6.4
28,3,Drama,7.7
7.2,30,Documentary,8
2.8,20,Fantasy,7.5
1,3,Drama,7.2
17.6,1,Drama,7.6
14.4,1,Drama,5.7
16,10,Drama,7.2
19.6,30,Adventure,6.1
8.4,20,Drama,8.1
18,20,Fantasy,6.8
26,1,Fantasy,7.6
12.4,20,Adventure,6.5
16.4,1,Action,6.2
28,20,Adventure,7.2
1,1,Drama,2.8
9.4,1,Adventure,6
4.8,10,Adventure,6.7
6.2,3,Adventure,4.8
24,1,Drama,7.7
12.2,1,Action,5.4
14.6,8,Action,7.1
20.6,5,Drama,7.6
24,20,Adventure,7.4
10.6,3,Comedy,7.8
5.4,8,Drama,7.2
14.2,1,Drama,6.8
16.2,10,Drama,6.6
12,1,Horror,7.2
20,1,Drama,6.6
12.6,20,Drama,7
12.4,1,Drama,7.3
24.4,1,Horror,7
1,3,Documentary,8.1
24,20,Action,7.2
28,3,Action,7.6
14.6,20,Action,7.1
16,1,Drama,7.2
30.25,20,Horror,6.7
22.2,1,Horror,6.2
13.4,30,Drama,8.2
3.2,30,Adventure,7.8
5.2,10,Drama,8
24,1,Comedy,6.9
9.4,1,Comedy,7.1
6.4,5,Fantasy,8.6
13.6,20,Thriller,6.6
25,1,Drama,7.8
14.4,20,Comedy,5.9
18.2,1,Drama,7.7
18.2,1,Adventure,6.4
13.8,1,Comedy,7.6
23.6,1,Comedy,7
14.6,30,Thriller,7.3
2,1,Drama,7.9
10.8,40,Drama,7.8
2.8,1,Comedy,4.1
14.4,3,Adventure,6.7
20,1,Drama,6.3
15.6,5,Comedy,7.5
9.4,1,Drama,6.7
14.4,1,Drama,7.1
12.6,1,Comedy,6.8
2.4,20,Drama,8.1
1.4,20,Drama,7.3
16,1,Drama,7.8
6.8,5,Drama,7.7
4.8,1,Adventure,5.9
30,30,Adventure,6.9
18,5,Fantasy,6
22,8,Adventure,7.2
16.2,8,Adventure,3.7
18,3,Drama,7.8
21.6,1,Comedy,5.4
9,3,Drama,5.9
5.4,20,Drama,7.1
30,1,Drama,7.4
10.8,3,Drama,7.5
16.2,1,Action,6.6
8.6,1,Adventure,6.9
6.25,1,Drama,7.8
9.8,1,Adventure,7.8
15.25,1,Adventure,5.9
15.25,3,Drama,5.8
11.25,1,Documentary,7.6
22,3,Adventure,7.6
3.2,1,Drama,8.1
10.6,3,Drama,7.7
14,3,Horror,5.7
1.75,1,Adventure,6.1
7.25,1,Action,6.3
8.25,20,Action,6.1
2.8,20,Horror,5.9
2.8,3,Horror,7.2
8.6,3,Horror,7.8
20,3,Action,6.8
6.2,1,Horror,5.7
4.8,20,Action,5.5
3.4,1,Drama,7.7
5.2,3,Drama,6.5
28,1,Drama,7.4
22,3,Drama,6.2
24.2,1,Drama,5.9
21,20,Adventure,6.8
5.75,2,Drama,7.6
22,20,Adventure,7.9
22,1,Adventure,6.6
16.4,30,Drama,7
18,10,Adventure,6.3
17.5,30,Adventure,5.2
22.4,5,Action,6.2
22,1,Drama,7.1
30,20,Adventure,6.9
5.75,30,Documentary,7.1
9.6,30,Action,5.9
13,30,Documentary,7.5
7.3333,30,History,7.5
5.6,3,Documentary,7.5
12.4,1,Drama,6.5
5.25,1,Drama,7.4
12.4,2,Comedy,5.8
1,3,Drama,7.2
24,1,Drama,7
3,8,Drama,6.4
1.25,1,Comedy,7.2
22.8,3,Drama,7.5
6.6,20,Drama,6.1
26,1,Drama,7.1
22,25,Comedy,5.6
14.2,20,Comedy,6.8
10.8,1,Drama,5.7
15.25,1,Drama,7
20,1,Drama,7.6
11.8,1,Drama,4.7
30,20,Adventure,7.4
12.6,8,Drama,7
8.2,1,Thriller,7.2
1,3,Drama,4.9
4.6,1,Documentary,7.8
13.2,10,Drama,6.2
6.6,20,Comedy,6.8
15.5,20,Drama,7.4
20,10,Drama,6
14.4,1,Animation,7.3
26,30,Adventure,7.1
1.2,20,Comedy,8
28,1,Adventure,6.7
24,20,Adventure,7.7
6.8,1,Drama,7.8
12.8,3,Drama,7.7
4.2,5,Drama,7.2
23.6,10,Drama,6.4
3.4,1,Drama,7.2
20,1,Adventure,8.8
20,1,Adventure,8.4
23.6,30,Adventure,6.5
26,30,Adventure,6.6
26,30,Adventure,7.6
9.6,20,Drama,7.6
8.8,8,Drama,7.8
30,1,Drama,6.9
10.4,1,Drama,7.4
14.6,20,Adventure,6.6
20.25,1,Drama,6.7
8.6,3,Adventure,6.6
8.6,8,Drama,8
23.6,1,Drama,6.7
17.5,30,Drama,7.2
16,8,Adventure,7.3
14,1,Action,5.7
20,3,Adventure,7
1.2,1,Drama,5.3
11.6,8,Drama,7.6
21,1,History,7.2
9,1,Drama,8.1
8.6,1,Drama,6.8
14.8,20,Drama,6.5
16.4,5,Horror,6.8
18.2,1,Drama,7
16.8,3,Action,7
30,30,Drama,7.7
20,5,Drama,5.9
16.4,20,Drama,7.4
14.4,1,Thriller,7.7
18.6,30,Drama,8.2
12.4,20,Drama,5.6
8.6,30,Horror,6.3
14.2,1,Drama,6.5
22,10,Adventure,5.5
8.6,1,Drama,6
14.4,10.5,Action,5.7
5.6,1,Horror,5.9
14.2,1,Horror,5
3.25,1,Horror,4.7
19.6,20,Adventure,5.6
24.2,1,Drama,7.5
10.8,3,Drama,6.7
32.5,20,Drama,6.7
1,3,Drama,6.7
16.2,30,Action,7.1
27,3,Adventure,5.7
17,8,Adventure,5.5
4.8,3,Adventure,7.1
18.2,1,Drama,6.9
6.6,3,Comedy,6.3
8.4,20,Drama,7.2
1.2,1,Drama,7.9
2.6,1,Drama,8
2.4,1,Drama,7.9
3.5,1,Drama,7.1
16.4,1,Comedy,5.2
12.2,3,Adventure,6.1
14.2,1,Comedy,5
11,1,Drama,6.6
14.8,1,Comedy,5.8
7,20,Adventure,6.7
22,20,Drama,7.1
17.8,1,Drama,6.6
5.6,1,Drama,7.4
20,20,Drama,7.7
8.8,1,Drama,7.1
18.4,5,Action,6.3
20.2,1,Drama,6.8
26,8,Drama,6.7
18.2,1,Action,7.1
9.4,1,Drama,7.3
14.2,30,Western,7.5
16.2,1,Drama,7.7
13,8,Drama,6
16.2,1,Comedy,6.1
22,8,Adventure,6.9
9.2,10.5,Fantasy,8
16.2,8,Drama,6.7
18,3,'Science Fiction',5.6
21.6,1,Comedy,6.7
13.6,20,Thriller,6.5
11.6,1,Comedy,6.8
12.4,20,Drama,6.8
22.2,20,Adventure,6.7
8.5,8,Horror,6.1
8,1,Action,6.1
14.2,10,Drama,6.3
5.6,1,Drama,5.9
11.25,1,Action,5.5
18.2,1,Drama,6.9
18.4,20,Drama,6.2
1,3,Horror,5.3
12.2,10.5,Comedy,7
8,30,Drama,7.9
20,10,Action,6.9
14.2,3,Drama,7.1
26,4.5,Adventure,6.4
15.6,10,Drama,6.5
26,5,Drama,8.3
24,8,Adventure,5.9
17.8,1,Comedy,5.5
16.2,2,Comedy,6.5
16,1,Drama,5.1
30,20,Drama,6.4
11,8,Adventure,5.9
10.6,1,Action,6.6
25,30,Drama,6.9
20,20,Drama,6.5
14,1,Drama,4.3
28,3,Thriller,5.7
20,3,Adventure,5.1
3,1,Adventure,6.1
4.4,1,Adventure,6.8
11.6,3,Action,5.2
10,1,Drama,6.9
11,20,Adventure,7.1
7,1,Comedy,6.7
9.8,3,Drama,5.8
12.75,8,Comedy,6.8
18.4,20,Action,6.5
1.4,1,Comedy,4.7
1,8,Drama,5.2
6.8,20,Drama,7.4
22.5,8,Adventure,6.6
16.8,1,Drama,5.2
17.6,1,Drama,6.2
12,1,Drama,7
22.2,1,Drama,6.4
10,1,Drama,6.7
