@relation 'final_predict-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT5)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT6)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT7)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT8)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT9)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-6,8'

@attribute actor_factor numeric
@attribute director_factor numeric
@attribute genre {Drama,Comedy,Action,Adventure,Animation,Horror,Documentary,Western,Thriller,Fantasy,History,Mystery,Romance,'Science Fiction',Family,War,Crime,Music,Foreign,'TV Movie'}
@attribute vote_cn numeric

@data
6.4,1,Drama,3643
16.2,3,Action,3309
10.2,1,Thriller,35018
12.8,5,Horror,9696
9.8,5,Thriller,6683
5,1,Drama,2062
13.6,5,Action,805
6.6,20,Drama,5553
8,1,Drama,210
34,30,Drama,246693
26,30,Drama,9149
5.75,1,Drama,447
24.2,20,Drama,72251
21.6,1,Drama,4879
11,40,Drama,4218
30,40,Drama,6822
18.2,20,Drama,32511
20.2,1,Drama,1358
15.6,1,Fantasy,41124
3.2,30,Adventure,22072
28,1,Drama,7239
8.2,1,Drama,63109
14,1,Comedy,2165
23,3,Drama,13445
20,20,Fantasy,15799
15.6,1,Adventure,35401
24.2,20,Drama,5205
8.8,1,Animation,6383
9,1,Comedy,50292
18.4,30,Adventure,60806
30,20,Thriller,9431
23,1,Adventure,14669
1,1,Drama,41193
9.8,20,Comedy,19092
18,1,Drama,27780
14.6,1,Drama,18639
6.6,1,Drama,13586
14.4,20,Drama,3311
16.6,5,Drama,16108
16.6,40,Drama,4404
14.8,1,Adventure,30656
16.4,1,Adventure,15952
14.4,1,Adventure,13551
16.6,40,Drama,3531
14.2,20,Drama,87208
18.6,40,Drama,3183
14.8,5,Drama,2671
2.8,1,Drama,1485
7.6,3,Drama,66
21.4,8,Adventure,5773
24,20,Comedy,2417
10.4,20,Drama,5853
18.6,5,Drama,380903
15.6,1,Adventure,189
6.8,20,Adventure,1102
11.8,1,Drama,30
11,5,Drama,10693
10.6,1,Drama,98
10.2,20,Fantasy,85522
30,30,Drama,52369
5.2,20,Fantasy,190965
26,20,Action,12439
28,3,Drama,10400
7.2,30,Documentary,2843
2.8,20,Fantasy,2723
1,3,Drama,186
17.6,1,Drama,9056
14.4,1,Drama,2174
16,10,Drama,10581
19.6,30,Adventure,32077
8.4,20,Drama,3289
18,20,Fantasy,29126
26,1,Fantasy,52077
12.4,20,Adventure,918
16.4,1,Action,14868
28,20,Adventure,31885
1,1,Drama,0
9.4,1,Adventure,425
4.8,10,Adventure,1908
6.2,3,Adventure,423
24,1,Drama,13400
12.2,1,Action,1292
14.6,8,Action,5130
20.6,5,Drama,25294
24,20,Adventure,70693
10.6,3,Comedy,2632
5.4,8,Drama,339
14.2,1,Drama,13452
16.2,10,Drama,4147
12,1,Horror,231
20,1,Drama,498
12.6,20,Drama,223
12.4,1,Drama,6389
24.4,1,Horror,18218
1,3,Documentary,760
24,20,Action,36911
28,3,Action,24934
14.6,20,Action,22050
16,1,Drama,42538
30.25,20,Horror,84193
22.2,1,Horror,68426
13.4,30,Drama,18773
3.2,30,Adventure,30763
5.2,10,Drama,9058
24,1,Comedy,73155
9.4,1,Comedy,27265
6.4,5,Fantasy,22166
13.6,20,Thriller,21813
25,1,Drama,57788
14.4,20,Comedy,2633
18.2,1,Drama,60501
18.2,1,Adventure,97210
13.8,1,Comedy,72
23.6,1,Comedy,28707
14.6,30,Thriller,4418
2,1,Drama,0
10.8,40,Drama,2568
2.8,1,Comedy,0
14.4,3,Adventure,330
20,1,Drama,31433
15.6,5,Comedy,2045
9.4,1,Drama,447
14.4,1,Drama,44
12.6,1,Comedy,30498
2.4,20,Drama,3128
1.4,20,Drama,1191
16,1,Drama,566
