@relation 'final_predict-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT5)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT6)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT7)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT8)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT9)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-7'

@attribute actor_factor numeric
@attribute director_factor numeric
@attribute genre {Drama,Comedy,Action,Adventure,Animation,Horror,Documentary,Western,Thriller,Fantasy,History,Mystery,Romance,'Science Fiction',Family,War,Crime,Music,Foreign,'TV Movie'}
@attribute box_office numeric

@data
16,3,Drama,60378584
24,20,Drama,7237794
5.2,10,Drama,7000000
4.6,1,Drama,418961
21,3,Drama,244931766
17.6,1,Comedy,363889678
16.6,20,Drama,108981275
28,20,Comedy,31584901
1.2,1,Drama,501533
1.8,10,Thriller,3000000
16.2,30,Drama,5887457
24,30,Drama,116112375
5.8,5,Action,115229890
18,8,Adventure,18432000
7,5,Drama,2201126
16,1,Adventure,192452832
22,8,Action,371353001
6.75,1,Drama,92921203
8.4,10,Drama,32000000
16,2,Comedy,369884651
5.8,5,Drama,13350369
24,30,Drama,186883563
6.6,20,Drama,96568
18,1,Drama,3011195
10.6,5.5,Adventure,84563118
13.2,20,Drama,16680836
28,8,Fantasy,821708551
28,8,Adventure,783766341
23,8,Adventure,890871626
24.2,5,Fantasy,230884728
14.2,3,Action,140767956
15,20,Adventure,121214377
18,10,Adventure,415885488
18.2,20,Horror,249348933
9,10,Thriller,36764313
28,20,Drama,355237933
8,10,Horror,11403529
1.2,10,Drama,12600000
5.2,10,Adventure,10250000
4.6,1,Adventure,638641
18.4,3,Fantasy,21284514
10.8,30,Adventure,470654000
3.2,20,Horror,187884007
5.6,1,Adventure,51881013
14.4,30,Adventure,424208848
3.6,1,Drama,70000000
9,5,Comedy,20045115
25.6,1,Action,236350661
21.6,8,Fantasy,562816256
18.2,8,Drama,64256513
17,30,Adventure,122919055
18,1,Horror,97607453
20.4,1,Drama,41597830
24,20,Thriller,767820459
15,20,Drama,4420000
22.4,30,Drama,219417255
1.8,1,Drama,13129846
24,30,Drama,1845034188
1,1,Drama,27387381
1.5,5,Drama,5000000
12,30,Drama,46357676
12.8,30,Adventure,792910554
24,20,Adventure,816969268
18.2,15,Action,463517383
18.2,15,Adventure,738599701
18.2,15,Adventure,424988211
10.6,3,Drama,128499205
28,20,Adventure,589390539
24,20,Adventure,441818803
3,20,Horror,122200000
17.2,30,Drama,130358911
6.6,8,Drama,92180910
12.4,30,Drama,611899420
16.6,20,Drama,456758981
12.2,3,Drama,67200000
1.2,1,Drama,11000000
9,3,Drama,411006740
15.2,5,Fantasy,295212467
8.4,3,Romance,181813770
11,30,Horror,58401898
11.8,1,Comedy,62493712
8.4,1,Drama,34700291
20,20,Drama,16491080
34,1,Horror,223664608
11.6,30,Drama,23341568
3.6,1,Adventure,33754967
16.2,1,Drama,281929795
16.8,1,Horror,17185632
4.4,30,Drama,2437000
8.6,30,Drama,229400000
6.6,30,Drama,3675201
14.2,3,Drama,92823546
24.2,30,Drama,352114312
15,8,Drama,7390108
9.4,1,Drama,102308889
1,1,Drama,45100
12.4,30,Adventure,235926552
9,1,Adventure,59600000
22,1,Drama,57504069
9.2,5,Drama,81600000
28,20,Adventure,497409852
8.4,1,Drama,9600000
8.4,1,Drama,2181987
8.6,1,Adventure,78898765
5.6,8,Adventure,124881062
6.75,1,Adventure,141195658
20,8,Adventure,494471524
6.4,8,Adventure,146900000
2.8,1,Drama,5596708
6.2,1,Adventure,111584787
10.2,1,Adventure,81974493
8.6,20,Drama,14980005
28,8,Adventure,976475550
26,8,Adventure,876688482
28,20,Adventure,789804554
30,20,Adventure,895921036
30,20,Adventure,938212738
30,30,History,449220945
17.6,30,Horror,131060248
30,30,Thriller,213928762
8.4,8,Adventure,116019547
13.2,8,Adventure,97572000
26,20,Drama,171120329
8.8,30,Drama,39363635
14,30,Drama,182016617
8,1,Adventure,185438673
22,1,Comedy,516642939
11.2,30,Horror,44017374
16,5,Drama,6110979
14.6,20,Drama,39946780
10.8,1,Adventure,210308099
11.4,20,Adventure,195312802
8.8,20,Adventure,187500000
7,1,Drama,8000000
7.2,20,Drama,38251425
4.8,1,Comedy,12299668
